,var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var2(t)
1,129.0,-16.0,-4.0,1020.0,SE,1.79,0.0,0.0,148.0
2,148.0,-15.0,-4.0,1020.0,SE,2.68,0.0,0.0,159.0
3,159.0,-11.0,-5.0,1021.0,SE,3.57,0.0,0.0,181.0
4,181.0,-7.0,-5.0,1022.0,SE,5.36,1.0,0.0,138.0
5,138.0,-7.0,-5.0,1022.0,SE,6.25,2.0,0.0,109.0
6,109.0,-7.0,-6.0,1022.0,SE,7.14,3.0,0.0,105.0
7,105.0,-7.0,-6.0,1023.0,SE,8.93,4.0,0.0,124.0
8,124.0,-7.0,-5.0,1024.0,SE,10.72,0.0,0.0,120.0
9,120.0,-8.0,-6.0,1024.0,SE,12.51,0.0,0.0,132.0
10,132.0,-7.0,-5.0,1025.0,SE,14.3,0.0,0.0,140.0
11,140.0,-7.0,-5.0,1026.0,SE,17.43,1.0,0.0,152.0
12,152.0,-8.0,-5.0,1026.0,SE,20.56,0.0,0.0,148.0
13,148.0,-8.0,-5.0,1026.0,SE,23.69,0.0,0.0,164.0
14,164.0,-8.0,-5.0,1025.0,SE,27.71,0.0,0.0,158.0
15,158.0,-9.0,-5.0,1025.0,SE,31.73,0.0,0.0,154.0
16,154.0,-9.0,-5.0,1025.0,SE,35.75,0.0,0.0,159.0
17,159.0,-9.0,-5.0,1026.0,SE,37.54,0.0,0.0,164.0
18,164.0,-8.0,-5.0,1027.0,SE,39.33,0.0,0.0,170.0
19,170.0,-8.0,-5.0,1027.0,SE,42.46,0.0,0.0,149.0
20,149.0,-8.0,-5.0,1028.0,SE,44.25,0.0,0.0,154.0
21,154.0,-7.0,-5.0,1028.0,SE,46.04,0.0,0.0,164.0
22,164.0,-7.0,-5.0,1027.0,SE,49.17,1.0,0.0,156.0
23,156.0,-8.0,-6.0,1028.0,SE,52.3,2.0,0.0,126.0
24,126.0,-8.0,-6.0,1027.0,SE,55.43,3.0,0.0,90.0
25,90.0,-7.0,-6.0,1027.0,SE,58.56,4.0,0.0,63.0
26,63.0,-8.0,-6.0,1026.0,SE,61.69,5.0,0.0,65.0
27,65.0,-8.0,-7.0,1026.0,SE,65.71,6.0,0.0,55.0
28,55.0,-8.0,-7.0,1025.0,SE,68.84,7.0,0.0,65.0
29,65.0,-8.0,-7.0,1024.0,SE,72.86,8.0,0.0,83.0
30,83.0,-9.0,-8.0,1024.0,SE,76.88,9.0,0.0,91.0
31,91.0,-10.0,-8.0,1024.0,SE,80.9,10.0,0.0,86.0
32,86.0,-10.0,-9.0,1024.0,SE,84.92,11.0,0.0,82.0
33,82.0,-10.0,-9.0,1024.0,SE,89.84,12.0,0.0,86.0
34,86.0,-11.0,-9.0,1023.0,SE,93.86,13.0,0.0,78.0
35,78.0,-11.0,-9.0,1023.0,SE,97.88,15.0,0.0,98.0
36,98.0,-11.0,-9.0,1022.0,SE,102.8,16.0,0.0,107.0
37,107.0,-11.0,-9.0,1021.0,SE,105.93,17.0,0.0,90.0
38,90.0,-11.0,-9.0,1020.0,SE,111.74,19.0,0.0,96.0
39,96.0,-11.0,-9.0,1020.0,SE,116.66,20.0,0.0,95.0
40,95.0,-11.0,-9.0,1020.0,SE,121.58,21.0,0.0,86.0
