Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.887500,4.612500,3.833330,4.500000,2.396988,23983200
2000-01-10,4.500000,4.612500,3.666670,3.666670,1.953103,31327200
2000-01-17,3.833330,3.895830,3.333330,3.362500,1.791083,29016000
2000-01-24,3.500000,3.554170,3.279170,3.333330,1.775545,8863200
2000-01-31,3.333330,3.333330,3.054170,3.300000,1.757791,49867200
2000-02-07,3.279170,3.395830,3.133330,3.133330,1.669012,32580000
2000-02-14,3.062500,3.220830,2.833330,3.112500,1.657917,13248000
2000-02-21,3.054170,3.316670,2.995830,3.000000,1.597992,19159200
2000-02-28,3.000000,3.333330,3.000000,3.333330,1.775545,55692000
2000-03-06,3.333330,3.333330,3.050000,3.050000,1.624625,20548800
2000-03-13,3.045830,3.083330,2.916670,3.054170,1.626846,22615200
2000-03-20,3.054170,3.166670,2.987500,3.166670,1.686772,27835200
2000-03-27,3.195830,3.512500,3.195830,3.420830,1.822153,55065600
2000-04-03,3.391670,3.454170,3.220830,3.441670,1.833254,11995200
2000-04-10,3.387500,3.387500,3.029170,3.029170,1.613530,16149600
2000-04-17,3.000000,3.000000,2.666670,2.762500,1.471484,48693600
2000-04-24,2.762500,2.833330,2.604170,2.833330,1.509213,47836800
2000-05-01,2.833330,2.833330,2.666670,2.750000,1.464826,26740800
2000-05-08,2.750000,2.779170,2.362500,2.395830,1.276172,10332000
2000-05-15,2.400000,2.770830,2.333330,2.720830,1.449288,24523200
2000-05-22,2.612500,3.054170,2.612500,2.954170,1.573580,41076000
2000-05-29,2.945830,3.445830,2.945830,3.166670,1.686772,37519200
2000-06-05,3.166670,3.166670,2.945830,3.137500,1.671233,27417600
2000-06-12,3.166670,3.220830,2.695830,2.716670,1.447073,34675200
2000-06-19,2.720830,3.054170,2.720830,3.029170,1.613530,33300000
2000-06-26,3.016670,3.166670,2.945830,3.141670,1.673455,31305600
2000-07-03,3.166670,3.666670,3.166670,3.520830,1.875419,53100001
2000-07-10,3.550000,3.550000,3.054170,3.279170,1.746696,55461598
2000-07-17,3.387500,3.487500,3.279170,3.350000,1.784424,58795199
2000-07-24,3.387500,3.445830,3.279170,3.362500,1.791083,29700000
2000-07-31,3.441670,3.445830,3.054170,3.387500,1.804399,23234400
2000-08-07,3.387500,3.666670,3.362500,3.645830,1.942002,39549600
2000-08-14,3.720830,3.779170,3.470830,3.500000,1.864324,38541600
2000-08-21,3.500000,3.720830,3.445830,3.666670,1.953103,30873600
2000-08-28,3.666670,3.720830,3.637500,3.666670,1.953103,27417600
2000-09-04,3.695830,3.712500,3.529170,3.554170,1.893178,48052800
2000-09-11,3.612500,3.779170,3.333330,3.495830,1.862103,77608800
2000-09-18,3.487500,3.487500,3.179170,3.337500,1.777766,27943200
2000-09-25,3.487500,3.487500,3.187500,3.229170,1.720063,28094400
2000-10-02,3.250000,3.304170,3.166670,3.204170,1.706746,35042400
2000-10-09,3.245830,3.245830,3.062500,3.166670,1.686772,19872000
2000-10-16,3.070830,3.304170,2.870830,2.966670,1.580238,39132000
2000-10-23,3.025000,3.029170,2.779170,2.929170,1.560263,41738399
2000-10-30,3.000000,3.112500,2.916670,3.083330,1.642379,56138400
2000-11-06,3.054170,3.220830,3.000000,3.150000,1.677892,71085600
2000-11-13,3.154170,3.250000,3.054170,3.212500,1.711183,20800800
2000-11-20,3.220830,3.283330,3.112500,3.166670,1.686772,39585600
2000-11-27,3.166670,3.166670,2.783330,2.837500,1.511434,22658400
2000-12-04,2.920830,3.029170,2.829170,3.000000,1.597992,28944000
