Date,Open,High,Low,Close,Adj Close,Volume
2000-12-18,2.815510,2.988540,2.814840,2.832230,2.086231,97560
2000-12-25,2.816660,3.129440,2.790010,3.063210,2.256371,112296
2001-01-01,2.906080,3.228790,2.905910,3.145840,2.317237,278428995
2001-01-08,3.112890,3.179120,3.046650,3.080100,2.268813,374721388
2001-01-15,3.046650,3.377810,3.046650,3.328140,2.451520,341263043
2001-01-22,3.328140,3.328140,3.094510,3.179120,2.341751,312056443
2001-01-29,3.195680,3.195680,2.988700,3.046650,2.244173,427505853
2001-02-05,3.030100,3.071490,2.930750,2.980420,2.195389,200206525
2001-02-12,2.980750,3.112890,2.879420,2.915020,2.147215,351904488
2001-02-19,2.980420,3.063210,2.765170,2.947470,2.171117,488443525
2001-02-26,2.939030,2.996980,2.816500,2.996810,2.207461,326708059
2001-03-05,2.980420,3.096330,2.930750,2.980420,2.195389,399350113
2001-03-12,2.844650,2.997150,2.649100,2.649100,1.951337,453451169
2001-03-19,2.657540,2.814840,2.549920,2.748610,2.024636,668550886
2001-03-26,2.856240,2.947310,2.707050,2.781890,2.049150,280566947
2001-04-02,2.642810,2.865510,2.516800,2.740330,2.018536,385193730
2001-04-09,2.698940,2.909220,2.649260,2.897630,2.134405,188550457
2001-04-16,2.831400,2.881070,2.516800,2.583030,1.902669,608313784
2001-04-23,2.624760,2.914190,2.541640,2.881070,2.122207,638655793
2001-04-30,2.908730,3.097980,2.881070,3.046650,2.244173,285350162
2001-05-07,3.046650,3.054930,2.889350,2.914190,2.146603,280687735
2001-05-14,2.889350,3.245350,2.806560,3.030430,2.232225,491197498
2001-05-21,3.046650,3.228790,2.996980,3.154280,2.323454,543172681
2001-05-28,3.154280,3.245350,3.088050,3.146000,2.317355,342470925
2001-06-04,3.154280,3.352980,3.154280,3.187560,2.347968,544863716
2001-06-11,3.162560,3.286740,3.137720,3.147820,2.318695,300629875
2001-06-18,3.129610,3.278460,2.955590,3.253630,2.396635,649297238
2001-06-25,3.253630,3.344700,3.129440,3.344700,2.463717,460988356
2001-07-02,3.295020,3.352980,2.996980,3.021820,2.225883,333822487
2001-07-09,3.030100,3.245180,2.847960,3.187560,2.347968,519039188
2001-07-16,3.187560,3.187560,3.046650,3.162560,2.329554,397489973
2001-07-23,3.162560,3.179120,3.005260,3.146170,2.317479,372051967
2001-07-30,3.151960,3.237070,3.046650,3.071660,2.262595,382608861
2001-08-06,3.096330,3.295020,3.096330,3.228790,2.378338,470035396
2001-08-13,3.162720,3.228790,3.008570,3.013540,2.219784,288514814
2001-08-20,2.980420,3.030100,2.930750,2.964690,2.183801,518399011
2001-08-27,2.947310,3.013540,2.898130,2.906740,2.141114,243726532
2001-09-03,2.884390,2.914190,2.831400,2.832560,2.086474,208661702
2001-09-10,2.781730,2.811530,2.311480,2.407520,1.773386,302405462
2001-09-17,2.475410,2.798290,2.400900,2.592470,1.909623,354247780
2001-09-24,2.732050,2.814840,2.616150,2.814840,2.073421,558826838
2001-10-01,2.781730,2.814680,2.577240,2.591310,1.908768,576631026
2001-10-08,2.591310,2.765170,2.533360,2.756890,2.030735,295750030
2001-10-15,2.755230,2.869480,2.732050,2.848120,2.097936,502273779
2001-10-22,2.856240,3.030100,2.847960,2.955590,2.177099,451083720
2001-10-29,2.815010,2.947310,2.732050,2.872800,2.116115,427952769
2001-11-05,2.955590,3.111060,2.881070,3.030100,2.231982,745565473
2001-11-12,3.013540,3.061390,2.963860,3.054930,2.250272,393660985
2001-11-19,3.055260,3.139380,3.030100,3.121160,2.299057,694653225
2001-11-26,3.126130,3.140210,2.814840,2.914190,2.146603,1021759885
2001-12-03,2.914190,3.048310,2.856240,2.939030,2.164899,890970369
2001-12-10,2.914190,2.940520,2.849780,2.889350,2.128305,659685027
2001-12-17,2.897630,2.952270,2.781560,2.839680,2.091718,762620774
2001-12-24,2.831400,2.955420,2.756890,2.914030,2.146484,267171531
2001-12-31,2.930580,3.054930,2.897630,2.963860,2.183190,341963615
2002-01-07,2.935720,2.996980,2.897630,2.899290,2.135628,517541415
2002-01-14,2.882730,2.971480,2.847960,2.947310,2.170998,528219096
2002-01-21,2.930750,2.980420,2.897630,2.914190,2.146603,197984020
2002-01-28,2.922470,2.939030,2.781560,2.781730,2.049031,750904314
2002-02-04,2.897140,2.972140,2.746960,2.872800,2.116115,384167029
2002-02-11,2.818320,3.013540,2.782060,3.013540,2.219784,384613945
2002-02-18,2.980260,3.223820,2.943990,3.149310,2.319792,771619499
2002-02-25,3.237070,3.477160,3.212070,3.245510,2.390656,1375379566
2002-03-04,3.278460,3.295020,3.046650,3.146000,2.317355,759613146
2002-03-11,3.112890,3.212400,3.095830,3.194020,2.352727,518870086
2002-03-18,3.228790,3.228790,3.054930,3.071490,2.262471,581148507
2002-03-25,3.079600,3.137720,3.052450,3.071490,2.262471,361700415
2002-04-01,3.096330,3.162560,2.980420,3.079440,2.268326,792733286
2002-04-08,3.063210,3.311410,3.063210,3.225480,2.375901,720139548
2002-04-15,3.179120,3.228790,3.046650,3.116530,2.295647,797999653
2002-04-22,3.096330,3.146000,3.054930,3.063210,2.256371,465856123
2002-04-29,3.079770,3.143020,2.948960,2.988700,2.201487,408590413
2002-05-06,2.897630,3.063210,2.839680,2.858390,2.105500,694701541
2002-05-13,2.897630,2.980260,2.798290,2.963860,2.183190,534137720
2002-05-20,2.947140,2.968830,2.877930,2.914690,2.146970,391643822
2002-05-27,2.930750,2.957240,2.864520,2.874450,2.117330,256783741
2002-06-03,2.900280,2.946640,2.624430,2.697280,1.986826,497454329
2002-06-10,2.806560,2.831400,2.548260,2.576410,1.897792,898145191
2002-06-17,2.597770,2.698940,2.381030,2.400900,1.768511,964216363
2002-06-24,2.483690,2.649260,2.425730,2.649260,1.951454,1017254484
2002-07-01,2.584030,2.665820,2.475410,2.525080,1.859982,399422585
2002-07-08,2.516800,2.690660,2.483850,2.649260,1.951454,861232302
2002-07-15,2.649260,2.814840,2.607870,2.765170,2.036834,430755057
2002-07-22,2.674100,2.761860,2.069740,2.099870,1.546771,2115871933
2002-07-29,2.160810,2.218760,1.821700,2.218760,1.634347,2343569862
2002-08-05,2.169090,2.619790,2.160810,2.318110,1.707528,1376357950
2002-08-12,2.252370,2.334660,1.920880,2.069740,1.524578,1333683463
2002-08-19,2.081330,2.169090,1.996880,2.135970,1.573364,906044743
2002-08-26,2.185640,2.434010,2.152530,2.409170,1.774602,1516303216
2002-09-02,2.430700,2.441460,2.210480,2.210480,1.628247,807686869
2002-09-09,2.210650,2.376720,2.210480,2.342940,1.725819,488419367
2002-09-16,2.251870,2.326390,2.088780,2.208660,1.626906,728679276
2002-09-23,2.110300,2.152530,1.895880,1.920720,1.414809,942474477
2002-09-30,1.887600,2.222240,1.871210,2.160810,1.591661,1090379689
2002-10-07,2.118580,2.193920,1.970390,2.011790,1.481891,635322038
2002-10-14,1.953830,2.121070,1.904320,2.044900,1.506281,1131870454
2002-10-21,2.020060,2.516800,2.011790,2.475240,1.823270,1436679604
2002-10-28,2.442290,2.665820,2.384340,2.607870,1.920966,1154131729
2002-11-04,2.660850,2.657540,2.351220,2.473750,1.822173,1011323781
2002-11-11,2.475410,2.597930,2.417450,2.417450,1.780702,508856740
2002-11-18,2.483520,2.516800,2.415800,2.452230,1.806321,806068308
2002-11-25,2.483690,2.533360,2.425730,2.533360,1.866081,371085661
2002-12-02,2.607870,2.632710,2.468780,2.533360,1.866081,479106594
2002-12-09,2.442290,2.636850,2.434010,2.550080,1.878398,517613887
2002-12-16,2.569790,2.873620,2.539980,2.851110,2.100137,1311603369
2002-12-23,2.856240,2.897630,2.765170,2.794150,2.058182,149463381
2002-12-30,2.834710,2.852930,2.781730,2.818980,2.076471,137662369
2003-01-06,2.876110,2.925780,2.790010,2.829750,2.084404,809583247
2003-01-13,2.833060,2.873620,2.768650,2.806560,2.067322,473719438
2003-01-20,2.781730,2.814840,2.483690,2.525080,1.859982,773020641
2003-01-27,2.498590,2.632710,2.473750,2.558360,1.884498,588649458
2003-02-03,2.558360,2.659200,2.550080,2.558200,1.884379,631130685
2003-02-10,2.543290,2.670790,2.545780,2.566470,1.890470,544320170
2003-02-17,2.597930,2.599590,2.483690,2.525080,1.859982,434765226
2003-02-24,2.500080,2.599590,2.444280,2.599590,1.914867,382198181
2003-03-03,2.616980,2.765170,2.573930,2.748280,2.024393,367691511
2003-03-10,2.665820,2.881070,2.650090,2.864520,2.110016,614691405
2003-03-17,2.798290,3.096330,2.781730,3.096330,2.280768,521297930
2003-03-24,3.038540,3.074800,2.972140,3.030100,2.231982,433339927
2003-03-31,2.930750,3.153290,2.930750,3.153290,2.322725,804944977
2003-04-07,3.185740,3.311580,2.972140,3.013540,2.219784,951557754
