Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.593750,4.593750,4.335940,4.394530,3.992305,19553280000
2000-01-10,4.523440,4.523440,4.218750,4.253910,3.864555,10727680000
2000-01-17,4.218750,4.218750,3.925780,3.925780,3.566458,10101760000
2000-01-24,3.949220,3.961060,3.914060,3.914060,3.555811,10819840000
2000-01-31,3.984380,4.558590,3.984380,4.558590,4.141347,11553280000
2000-02-07,4.541020,4.687500,4.289060,4.289060,3.896487,19397120000
2000-02-14,4.335940,4.757810,4.335940,4.570310,4.151996,17401600000
2000-02-21,4.605470,5.050780,4.558590,5.050780,4.588489,26306560000
2000-02-28,5.050780,5.156250,5.027340,5.156250,4.684306,11960320000
2000-03-06,5.156250,5.367190,5.156250,5.367190,4.875938,7168000000
2000-03-13,5.156250,5.156250,5.003910,5.003910,4.545909,12824320000
2000-03-20,4.933590,5.039060,4.933590,5.015630,4.556556,11221760000
2000-03-27,5.203130,5.203130,5.033200,5.156250,4.684306,13328640000
2000-04-03,5.085940,5.214730,5.015630,5.214730,4.737432,20538880000
2000-04-10,5.085940,5.179690,4.687380,4.687380,4.258350,12346880000
2000-04-17,4.687500,4.687500,4.394530,4.429690,4.024246,10583040000
2000-04-24,4.347660,4.687500,4.347660,4.687500,4.258459,9022720000
2000-05-01,4.687500,4.722660,4.617190,4.617190,4.194584,8304640000
2000-05-08,4.511720,4.511720,4.160040,4.160040,3.779277,8058880000
2000-05-15,4.453130,4.558590,4.324220,4.324220,3.928430,8559360000
2000-05-22,4.148320,4.511600,4.148320,4.453130,4.045540,19187200000
2000-05-29,4.453130,5.273440,4.453130,5.273440,4.790769,28231680000
2000-06-05,5.378910,5.578130,5.378910,5.578130,5.067571,20541440000
2000-06-12,5.449220,5.472770,5.320310,5.472770,4.971854,10816000000
2000-06-19,5.531250,6.075000,5.531250,6.075000,5.518963,10906483200
2000-06-26,6.050000,6.625000,6.050000,6.625000,6.018622,259724800
2000-07-03,6.627500,6.875000,6.500000,6.500000,5.905063,216908800
2000-07-10,6.506250,6.506250,5.925000,6.101250,5.542810,204172800
2000-07-17,6.050000,6.250000,5.900000,6.250000,5.677945,345318400
2000-07-24,6.106250,6.106250,5.800000,5.800000,5.269134,213504000
2000-07-31,5.800000,6.000000,5.748750,5.762500,5.235065,159308800
2000-08-07,5.950000,6.437500,5.650000,6.437500,5.848284,2077478400
2000-08-14,6.412500,6.962500,6.412500,6.600000,5.995911,1091212800
2000-08-21,6.507500,6.862500,6.507500,6.862500,6.234384,636403200
2000-08-28,6.873750,7.337500,6.873750,7.100000,6.450146,773081600
2000-09-04,7.087500,7.481250,7.087500,7.457500,6.774925,283404800
2000-09-11,7.543750,7.543750,6.940000,6.940000,6.304792,472563200
2000-09-18,6.850000,7.050000,6.725000,6.725000,6.109470,388352000
2000-09-25,6.750000,6.975000,6.750000,6.900000,6.268452,321113600
2000-10-02,6.925000,6.990000,6.875000,6.875000,6.245740,318656000
2000-10-09,6.850000,7.212500,6.850000,7.212500,6.552350,261824000
2000-10-16,7.001250,7.001250,6.737500,6.825000,6.200316,540377600
2000-10-23,6.625000,6.750000,6.312500,6.750000,6.132181,387763200
2000-10-30,6.976250,7.000000,6.848750,6.848750,6.221893,275763200
2000-11-06,6.926250,7.098750,6.826250,6.826250,6.201452,372172800
2000-11-13,6.850000,6.936250,6.850000,6.936250,6.301385,172441600
2000-11-20,6.837500,6.913750,6.712500,6.712500,6.098114,280256000
2000-11-27,6.593750,6.593750,6.337500,6.337500,5.757437,288896000
2000-12-04,6.337500,6.437500,6.000000,6.085000,5.528047,347776000
2000-12-11,5.962500,6.312500,5.962500,6.312500,5.734725,378713600
2000-12-18,6.273750,6.273750,5.927500,6.037500,5.484894,311859200
2000-12-25,6.037500,6.062500,5.951250,6.062500,5.507606,104665600
2001-01-01,6.062500,6.636250,6.062500,6.537500,5.939132,165414400
2001-01-08,6.500000,6.760000,6.500000,6.760000,6.141267,202534400
2001-01-15,6.730000,7.250000,6.730000,7.162500,6.506926,404633600
2001-01-22,7.037500,7.063750,6.837500,6.837500,6.211673,275161600
2001-01-29,6.862500,6.912500,6.825000,6.825000,6.200316,193625600
2001-02-05,6.850000,7.112500,6.850000,7.112500,6.461503,199705600
2001-02-12,7.075000,7.388750,7.075000,7.250000,6.586417,282611200
2001-02-19,7.062500,7.200000,7.062500,7.126250,6.473993,365132800
2001-02-26,7.126250,7.312500,7.126250,7.312500,6.643197,121958400
2001-03-05,7.312500,7.425000,7.312500,7.388750,6.712467,212748800
2001-03-12,7.175000,7.175000,6.711250,6.912500,6.279807,284377600
2001-03-19,6.812500,6.840000,6.537500,6.548750,5.949351,510118400
2001-03-26,6.376250,6.596250,6.321250,6.437500,5.848284,188480000
2001-04-02,6.162500,6.900000,6.162500,6.900000,6.268452,212300800
2001-04-09,6.937500,6.950000,6.625000,6.625000,6.018622,118540800
2001-04-16,6.575000,7.000000,6.562500,6.562500,5.961843,182144000
2001-04-23,6.925000,7.387500,6.925000,7.387500,6.711330,326515200
2001-04-30,7.362500,7.612500,7.362500,7.600000,6.904382,211174400
2001-05-07,7.362500,7.725000,7.337500,7.626250,6.928230,165875200
2001-05-14,7.650000,7.987500,7.500000,7.987500,7.256414,141158400
2001-05-21,8.025000,8.187500,7.897500,7.897500,7.174653,250457600
2001-05-28,7.843750,8.387500,7.843750,8.387500,7.619802,164134400
2001-06-04,8.768750,8.768750,8.000000,8.000000,7.267770,261337600
2001-06-11,8.026250,8.125000,7.975000,7.975000,7.245059,127590400
2001-06-18,7.952500,8.295000,7.936250,7.936250,7.209856,140096000
2001-06-25,7.725000,7.825000,7.437500,7.518750,6.830569,163200000
2001-07-02,7.275000,7.275000,7.103750,7.273750,6.607993,197376000
2001-07-09,7.273750,7.600000,7.273750,7.412500,6.734044,122841600
2001-07-16,7.150000,7.150000,6.875000,7.038750,6.394503,160153600
2001-07-23,7.212500,7.325000,7.175000,7.325000,6.654552,157171200
2001-07-30,7.287500,7.311250,7.025000,7.250000,6.586417,109708800
2001-08-06,7.175000,7.218750,7.087500,7.125000,6.472858,166297600
2001-08-13,7.081250,7.233750,6.737500,6.737500,6.120826,263104000
2001-08-20,6.750000,7.212500,6.750000,7.212500,6.552350,339635200
2001-08-27,7.301250,7.301250,7.200000,7.200000,6.540992,178291200
2001-09-03,7.162500,7.562500,7.162500,7.200000,6.540992,141465600
2001-09-10,7.125000,7.125000,6.587500,6.587500,5.984555,214924800
2001-09-17,7.212500,7.337500,6.800000,6.861250,6.233248,287667200
2001-09-24,6.861250,6.861250,6.218750,6.612500,6.007267,190476800
2001-10-01,6.375000,6.512500,6.287500,6.512500,5.916418,156518400
2001-10-08,6.478750,6.912500,6.478750,6.912500,6.279807,147328000
2001-10-15,7.125000,7.125000,6.712500,6.712500,6.098114,261760000
2001-10-22,6.862500,6.875000,6.750000,6.787500,6.166249,155584000
2001-10-29,6.625000,6.686250,6.476250,6.662500,6.052690,195622400
2001-11-05,6.598750,7.001250,6.462500,7.001250,6.360435,220953600
2001-11-12,6.726250,6.726250,5.937500,5.937500,5.394048,274009600
2001-11-19,6.048750,6.562500,6.048750,6.337500,5.757437,228992000
2001-11-26,6.356250,6.375000,6.250000,6.375000,5.791505,333836800
2001-12-03,6.612500,6.750000,6.337500,6.337500,5.757437,341209600
2001-12-10,6.287500,6.287500,6.025000,6.025000,5.473539,196928000
2001-12-17,6.050000,6.237500,6.050000,6.237500,5.666590,192204800
2001-12-24,6.237500,6.561250,6.237500,6.561250,5.960706,149708800
2001-12-31,6.561250,6.742500,6.561250,6.631250,6.024300,121100800
2002-01-07,6.725000,6.725000,6.450000,6.450000,5.859640,113715200
2002-01-14,6.187500,6.256250,6.131250,6.256250,5.683623,135142400
2002-01-21,6.147500,6.147500,6.050000,6.050000,5.496251,141414400
2002-01-28,6.262500,6.262500,6.125000,6.187500,5.621166,203712000
2002-02-04,6.175000,6.225000,6.112500,6.112500,5.553031,111974400
2002-02-11,6.112500,6.412500,6.112500,6.412500,5.825572,102054400
2002-02-18,6.325000,6.687500,6.325000,6.687500,6.075402,190528000
2002-02-25,6.787500,7.537500,6.787500,7.537500,6.847602,305292800
2002-03-04,7.625000,7.625000,7.250000,7.312500,6.643197,393062400
2002-03-11,7.375000,7.875000,7.375000,7.875000,7.154212,397107200
2002-03-18,7.876250,7.888750,7.612500,7.612500,6.915738,206604800
2002-03-25,7.412500,7.662500,7.412500,7.662500,6.961162,165440000
2002-04-01,7.800000,7.800000,7.525000,7.525000,6.836246,202035200
2002-04-08,7.587500,7.587500,7.225000,7.225000,6.563705,224102400
2002-04-15,7.350000,7.531250,7.350000,7.400000,6.722687,251993600
2002-04-22,7.387500,7.475000,7.187500,7.187500,6.529637,256204800
2002-04-29,7.250000,7.268750,7.125000,7.131250,6.478536,215424000
2002-05-06,7.001250,7.225000,6.875000,6.875000,6.245740,320268800
2002-05-13,6.816250,7.112500,6.816250,7.112500,6.461503,253939200
2002-05-20,7.236250,7.500000,7.236250,7.500000,6.813535,318668800
2002-05-27,7.493750,7.493750,7.295000,7.295000,6.627298,171571200
2002-06-03,7.375000,7.500000,7.168750,7.168750,6.512604,223436800
2002-06-10,7.212500,7.212500,6.700000,6.700000,6.086758,268544000
2002-06-17,6.725000,6.732500,5.812500,5.812500,5.280488,434918400
2002-06-24,6.062500,6.737500,6.062500,6.625000,6.018622,282112000
2002-07-01,6.593750,6.593750,6.268750,6.268750,5.694979,156211200
2002-07-08,6.176250,6.212500,6.125000,6.125000,5.564387,148108800
2002-07-15,6.012500,6.252500,5.900000,5.900000,5.359980,250816000
2002-07-22,5.375000,5.575000,5.212500,5.212500,4.735406,418624000
2002-07-29,5.000000,5.856250,5.000000,5.856250,5.320234,371379200
2002-08-05,5.750000,6.250000,5.603750,6.250000,5.677945,431334400
2002-08-12,6.062500,6.062500,5.550000,5.618750,5.104473,224755200
2002-08-19,5.500000,5.650000,5.375000,5.643750,5.127185,370329600
2002-08-26,5.737500,6.037500,5.737500,6.037500,5.484894,276659200
2002-09-02,6.000000,6.337500,6.000000,6.337500,5.757437,319564800
2002-09-09,6.412500,6.706250,6.412500,6.706250,6.092436,182758400
2002-09-16,6.612500,6.612500,5.933750,6.051250,5.497387,210662400
2002-09-23,5.907500,5.907500,4.931250,4.931250,4.479900,481126400
2002-09-30,5.000000,5.625000,5.000000,5.601250,5.088574,296192000
2002-10-07,5.402500,5.402500,5.111250,5.111250,4.643424,281356800
