Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.177780,2.577780,2.055560,2.553330,2.255598,9250650
2000-01-10,2.600000,2.888890,2.355560,2.488890,2.198672,16568100
2000-01-17,2.444440,2.533330,2.333330,2.488890,2.198672,8909100
2000-01-24,2.488890,2.508890,2.244440,2.355560,2.080889,3367350
2000-01-31,2.311110,2.506670,2.200000,2.477780,2.188858,4637700
2000-02-07,2.508890,2.622220,2.311110,2.311110,2.041622,10461600
2000-02-14,2.426670,2.426670,2.111110,2.222220,1.963098,7546500
2000-02-21,2.211110,2.311110,2.111110,2.111110,1.864944,5350500
2000-02-28,2.122220,2.217780,1.933330,2.044440,1.806048,13322250
2000-03-06,2.044440,2.166670,2.037780,2.055560,1.815871,4853700
2000-03-13,2.044440,2.077780,1.900000,1.911110,1.688265,7716600
2000-03-20,1.924440,2.244440,1.911110,2.077780,1.835500,6613200
2000-03-27,2.088890,2.200000,1.922220,1.922220,1.698079,10538100
2000-04-03,1.944440,2.066670,1.911110,1.977780,1.747160,9785700
2000-04-10,1.955560,1.986670,1.666670,1.677780,1.482142,6588000
2000-04-17,1.755560,1.800000,1.546670,1.742220,1.539068,6110550
2000-04-24,1.755560,1.766670,1.640000,1.677780,1.482142,8622450
2000-05-01,1.677780,2.044440,1.677780,1.977780,1.747160,6129450
2000-05-08,1.977780,2.000000,1.755560,1.762220,1.556736,5122350
2000-05-15,1.762220,1.933330,1.711110,1.755560,1.550853,5296950
2000-05-22,1.755560,1.780000,1.611110,1.777780,1.570482,9985500
2000-05-29,1.797780,1.933330,1.755560,1.844440,1.629369,8329050
2000-06-05,1.877780,1.955560,1.724440,1.740000,1.537107,7178850
2000-06-12,1.766670,1.777780,1.602220,1.644440,1.452690,16574400
2000-06-19,1.668890,1.855560,1.666670,1.811110,1.599925,15072750
2000-06-26,1.826670,1.888890,1.777780,1.853330,1.637222,11304450
2000-07-03,1.866670,2.177780,1.866670,2.111110,1.864944,15827400
2000-07-10,2.133330,2.155560,1.955560,1.982220,1.751083,11627100
2000-07-17,2.024440,2.175560,2.024440,2.168890,1.915986,13322700
2000-07-24,2.155560,2.277780,2.155560,2.177780,1.923839,11457900
2000-07-31,2.200000,2.222220,2.068890,2.211110,1.953283,8104500
2000-08-07,2.222220,2.604440,2.220000,2.604440,2.300749,12999150
2000-08-14,2.555560,2.640000,2.355560,2.477780,2.188858,13944600
2000-08-21,2.480000,2.500000,2.355560,2.466670,2.179044,10509300
2000-08-28,2.466670,2.533330,2.333330,2.444440,2.159405,12572550
2000-09-04,2.444440,2.595560,2.444440,2.486670,2.196712,3924000
2000-09-11,2.466670,2.577780,2.411110,2.411110,2.129962,6363900
2000-09-18,2.411110,2.440000,2.244440,2.393330,2.114256,9683100
2000-09-25,2.422220,2.444440,2.244440,2.333330,2.061251,7089300
2000-10-02,2.333330,2.377780,2.222220,2.333330,2.061251,3464550
2000-10-09,2.311110,2.333330,2.133330,2.211110,1.953283,2443050
2000-10-16,2.244440,2.311110,2.033330,2.068890,1.827647,7666650
2000-10-23,2.046670,2.175560,1.844440,2.155560,1.904210,5522850
2000-10-30,2.200000,2.222220,2.068890,2.088890,1.845315,5693850
2000-11-06,2.111110,2.244440,2.006670,2.060000,1.819793,5133600
2000-11-13,2.066670,2.088890,1.911110,2.000000,1.766790,2987550
2000-11-20,2.000000,2.126670,1.980000,2.088890,1.845315,8580150
2000-11-27,2.077780,2.100000,1.777780,1.804440,1.594033,5566050
2000-12-04,1.811110,2.044440,1.755560,2.022220,1.786418,9890550
2000-12-11,2.033330,2.097780,1.955560,1.955560,1.727532,6701400
2000-12-18,2.042220,2.100000,1.877780,1.882220,1.662743,5360400
2000-12-25,1.897780,2.033330,1.866670,1.951110,1.723601,2847600
2001-01-01,1.933330,2.355560,1.933330,2.200000,1.943469,6249150
2001-01-08,2.211110,2.333330,2.160000,2.260000,1.996473,8577900
2001-01-15,2.260000,2.508890,2.255560,2.406670,2.126040,6210900
2001-01-22,2.411110,2.577780,2.400000,2.577780,2.277197,11963700
2001-01-29,2.622220,2.666670,2.477780,2.488890,2.198672,17352450
2001-02-05,2.488890,2.622220,2.442220,2.488890,2.198672,9301500
2001-02-12,2.502220,2.622220,2.333330,2.488890,2.198672,6970050
2001-02-19,2.488890,2.533330,2.311110,2.488890,2.198672,5352300
2001-02-26,2.444440,2.488890,2.311110,2.420000,2.137815,4002750
